name,Preprocess,Extraction,Reduction,Clustering,v-measure,completeness,homogeneity,ARI,Time (s)
bow_lem_-W2V-1_TruncatedSVD_MBKMeans,bow_lem,-W2V-1,TruncatedSVD,MBKMeans,0.0777,0.0947,0.0659,0.0202,26.9
bow_lem_-W2V-1_TruncatedSVD_AggloClust,bow_lem,-W2V-1,TruncatedSVD,AggloClust,0.108,0.1288,0.0929,0.0275,26.8
bow_lem_-W2V-1_TruncatedSVD_BIRCH,bow_lem,-W2V-1,TruncatedSVD,BIRCH,0.0,1.0,0.0,0.0,26.9
bow_lem_-W2V-1_TruncatedSVD_GausMix,bow_lem,-W2V-1,TruncatedSVD,GausMix,0.1055,0.124,0.0919,0.0421,27.0
bow_lem_-W2V-1_TSNE_kmeans,bow_lem,-W2V-1,TSNE,kmeans,0.4593,0.4618,0.4568,0.3653,40.9
bow_lem_-W2V-1_TSNE_MBKMeans,bow_lem,-W2V-1,TSNE,MBKMeans,0.4791,0.48,0.4782,0.3786,46.6
bow_lem_-W2V-1_TSNE_AggloClust,bow_lem,-W2V-1,TSNE,AggloClust,0.5358,0.5422,0.5295,0.4205,34.5
bow_lem_-W2V-1_TSNE_BIRCH,bow_lem,-W2V-1,TSNE,BIRCH,0.4901,0.4985,0.4821,0.3605,34.5
bow_lem_-W2V-1_TSNE_GausMix,bow_lem,-W2V-1,TSNE,GausMix,0.5026,0.5151,0.4907,0.3678,34.7
dl_-W2V-0_TruncatedSVD_kmeans,dl,-W2V-0,TruncatedSVD,kmeans,0.1258,0.1496,0.1085,0.0527,18.1
dl_-W2V-0_TruncatedSVD_MBKMeans,dl,-W2V-0,TruncatedSVD,MBKMeans,0.1185,0.1419,0.1017,0.0456,18.1
dl_-W2V-0_TruncatedSVD_AggloClust,dl,-W2V-0,TruncatedSVD,AggloClust,0.1248,0.1524,0.1057,0.0552,18.1
